ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,Unnamed: 9
2012-11-21,536359.0,6455337.0,11.494109891614823,11.587939360117801,11.071877283351421,11.118792017602908,-0.3753178740119126,190.0,
2012-11-22,283453.0,3378346.0,11.1657067518544,11.306450954608868,11.071877283351421,11.071877283351421,-0.04691473425148907,137.0,
2012-11-23,390313.0,4725406.0,11.259536220357377,11.447195157363334,11.259536220357377,11.353365688860354,0.28148840550893445,169.0,
2012-11-26,799074.0,9822851.0,11.447195157363334,11.728683562872268,11.447195157363334,11.494109891614823,0.14074420275446722,322.0,
2012-11-27,343972.0,4242002.0,11.587939360117801,11.63485409436929,11.494109891614823,11.541024625866312,0.04691473425148907,172.0,
2012-11-28,930399.0,11665210.0,11.587939360117801,11.869427765626737,11.494109891614823,11.775598297123757,0.23457367125744535,378.0,
2012-11-29,691907.0,8772568.0,11.869427765626737,11.963257234129713,11.775598297123757,11.916342499878223,0.14074420275446722,307.0,
2012-11-30,758245.0,9676383.0,11.963257234129713,12.057086702632692,11.822513031375246,11.916342499878223,0.0,369.0,
2012-12-03,579147.0,7440378.0,11.963257234129713,12.197830905387157,11.916342499878223,12.104001436884179,0.1876589370059563,343.0,
2012-12-04,1246608.0,16269781.0,12.15091617113567,12.385489842393115,11.963257234129713,12.338575108141626,0.23457367125744535,429.0,
2012-12-05,945496.0,12278289.0,12.338575108141626,12.385489842393115,12.104001436884179,12.15091617113567,-0.1876589370059563,334.0,
2012-12-06,671459.0,8721521.0,12.385489842393115,12.385489842393115,12.010171968381202,12.010171968381202,-0.14074420275446722,266.0,
2012-12-07,579269.0,7432772.0,12.057086702632692,12.197830905387157,11.916342499878223,12.010171968381202,0.0,194.0,
2012-12-10,503878.0,6472170.0,12.010171968381202,12.24474563963865,11.916342499878223,12.15091617113567,0.14074420275446722,213.0,
2012-12-11,815805.0,10503382.0,12.15091617113567,12.24474563963865,11.963257234129713,12.197830905387157,0.04691473425148907,327.0,
2012-12-12,1414796.0,18879332.0,12.291660373890137,12.713892982153538,12.291660373890137,12.479319310896093,0.28148840550893445,476.0,
2012-12-13,954178.0,12735914.0,12.479319310896093,12.66697824790205,12.385489842393115,12.573148779399073,0.09382946850297814,308.0,
2012-12-14,573343.0,7621607.0,12.573148779399073,12.573148779399073,12.385489842393115,12.385489842393115,-0.1876589370059563,231.0,
2012-12-17,655700.0,8615950.0,12.573148779399073,12.573148779399073,12.197830905387157,12.197830905387157,-0.1876589370059563,230.0,
2012-12-18,420599.0,5519362.0,12.338575108141626,12.385489842393115,12.24474563963865,12.338575108141626,0.14074420275446722,163.0,
2012-12-19,825732.0,10933660.0,12.338575108141626,12.526234045147582,12.338575108141626,12.479319310896093,0.14074420275446722,253.0,
2012-12-20,1788417.0,24401224.0,12.479319310896093,13.042296121913962,12.479319310896093,12.760807716405028,0.28148840550893445,543.0,
2012-12-21,1709899.0,23500483.0,12.807722450656517,13.13612559041694,12.66697824790205,12.66697824790205,-0.09382946850297814,478.0,
2012-12-22,1025749.0,14128733.0,12.901551919159493,13.08921085616545,12.760807716405028,13.042296121913962,0.3753178740119126,318.0,
2012-12-24,3816105.0,55866780.0,13.229955058919916,13.933676072692254,13.18304032466843,13.746017135686298,0.7037210137723361,1161.0,
2012-12-25,1361032.0,19730410.0,13.746017135686298,13.746017135686298,13.417613995925874,13.699102401434809,-0.04691473425148907,544.0,
2012-12-26,1055153.0,15218924.0,13.699102401434809,13.746017135686298,13.464528730177364,13.464528730177364,-0.23457367125744535,373.0,
2012-12-27,854348.0,12269472.0,13.558358198680343,13.746017135686298,13.18304032466843,13.229955058919916,-0.23457367125744535,365.0,
2012-12-28,1915289.0,27087402.0,13.464528730177364,13.511443464428853,13.08921085616545,13.370699261674387,0.14074420275446722,467.0,
2013-01-02,766750.0,11031082.0,13.417613995925874,13.652187667183322,13.370699261674387,13.464528730177364,0.09382946850297814,323.0,
2013-01-03,1083912.0,15475353.0,13.605272932931829,13.605272932931829,13.276869793171409,13.276869793171409,-0.1876589370059563,334.0,
2013-01-04,6651121.0,98819313.0,13.417613995925874,14.1682497439497,13.417613995925874,13.699102401434809,0.42223260826340164,1087.0,
2013-01-07,3042497.0,45423927.0,13.699102401434809,14.1682497439497,13.699102401434809,13.886761338440765,0.1876589370059563,982.0,
